"Nom de la paire","Early wallet"
"$MONG/WETH","0x808877b83a698f0d866e69591fdca106069e6d69"
"NPEPE/WETH","0x9cc7f5db03ba9e6c59867f64947dec39b69fc81d"
"NPEPE/WETH","0x98355f02ce847a286e9dd2271b98896ab17d8201"
"NPEPE/WETH","0xfa8a679e75e30fee5ea4cf8f07b4dffd38d4d1b5"
"NPEPE/WETH","0x749022978d0afc818248cce53f06bc452157bf37"
"TEPE/WETH","0x3f7a744925ad1bd96137872780d6110f6c812afa"
"TEPE/WETH","0xcafdb59500ead6d1a245ae827fcc869110d2fc89"
"DERP/WETH","0xe572fe384eb21f7242e6f40fcf11b0de6ddf9bf2"
"DERP/WETH","0x07b2f2fa7dcddc40525ca0d0ad1ea103878f1143"
"DERP/WETH","0x2533da5f6c8f63fbe03bebe36cafbf5a8115f97a"
"DERP/WETH","0xeaea2dccd971871a84eb9aa3206a60b9169d46bb"
"DERP/WETH","0x2b6f6d5d2513d216cc114be1776407edeb740157"
"DUCKER/WETH","0x7f5a4d676125ded48fdc5bccd10d7ff362527f86"
"FLEX/WETH","0xd701c0342153eda55711f7c52835199ce9f29bde"
"TRISTAN/WETH","0x413f7fe3e6f06ec1e17c36f69cd4857eaa45212a"
"TRISTAN/WETH","0xbeeedff526c9c1ef8e2337d8ef2a3074a3d12732"
"TRISTAN/WETH","0x00abc87f5fd422c23c07a0dd45d7b8d48e33c1eb"
"TRISTAN/WETH","0x753a562b1eb7dfc706822980dbf67c8ffc2a624c"
"TICKER/WETH","0xa10b54a0991e57a8e5d218404c44401405330634"
"TICKER/WETH","0xddad8c5d53db709019a935159681e841fc5988e4"
"TICKER/WETH","0xa8589d8a0f5ad195349c5545737098002036dacb"
"MOON/WETH","0x5b75a8c9f9c03355f10d794fda9c3425a894bfb6"
"MOON/WETH","0xe076a42bf0efb5259aae29e71a1f1abed3206319"
"BANK/WETH","0x7996d4c2ba5106886345c6ef0ba3c90c6562171b"
"BANK/WETH","0x2bbe50c7e309cf04522abb4d3890454f9cb697db"
"BANK/WETH","0x98a134b202e25fd253561e1878c356a397641d4f"
"LOL/WETH","0x0eeb6908131dd66e5fc1c838daaa58547b1c7559"
"PEPERONI/WETH","0x2012614d5f1517894c8e15dc07a18cfda3e1b41e"
"PEPERONI/WETH","0xa8e0e2363a19c92ef3cdccfd75833e2a10e97020"
"XDD/WETH","0x66c94f268c9fb39874dbb9c3980c8554c70d8e6b"
"XDD/WETH","0x89c49aac5fe8f72d4dc4e34b21bdcdfe2de4a6c7"
"XDD/WETH","0x0c4b1b28e762f649d572c625e4c9464d4f0a7aac"
"VASH/WETH","0x3c1e2b1ba5a2100cad2c8f4196251fe40ef66282"
"JEET/WETH","0x1773b49a964706d89e6867975717d76cc0926a75"
"JEET/WETH","0x92bb35f315bbd7b7e2b878e52bdae5295d49b1c5"
"PETOSHI/WETH","0xa9e46381fd53e2fec2b10425a16cb9a6c46546f0"
"PETOSHI/WETH","0x94f0cb45193ba6354cc47b91e97878132d31e576"
"PETOSHI/WETH","0xab80d4ad224311fba342659ce32c9742079800cb"
"YUAN/WETH","0xf256e799641f698cbfa9a0d70fb477107fb876e6"
"YUAN/WETH","0xbeeedff526c9c1ef8e2337d8ef2a3074a3d12732"
"YUAN/WETH","0x7afdf575215542a5e7f87901c71cfc1521095c49"
"YUAN/WETH","0xfa4d453f835719a44785e32a17f19ec467f5a2f1"
"VC/WETH","0xdcf0dac62a73d4c706d9b9e94d43338007310667"
"VC/WETH","0xb4ce02ea3ee8ef6b848b5b726139f72fce9612eb"
"VC/WETH","0x6666660dbc7bfad71753b24e7dc7ef8ed02cc470"
"BLOOD/WETH","0xed658aa5c40270e4dc6ddace8dcdc122e3209039"
"BLOOD/WETH","0xfa52fd7dca592c6f523be8b703b06a12405a477f"
"BLOOD/WETH","0x2b6f6d5d2513d216cc114be1776407edeb740157"
"BLOOD/WETH","0xbeeedff526c9c1ef8e2337d8ef2a3074a3d12732"
"DOGTIC/WETH","0x367721e913fdb29910a12d554bc89898477ffcf0"
"DOGTIC/WETH","0xc5d8af06589cc306cb2de4bf5ba88b9a87a49ee6"
"DOGTIC/WETH","0x88079020c9e0fcf78b126b4d5f262282a7e87388"
"DOGTIC/WETH","0x232b10c82cb3dbad680f9c657299c33f64ff3b94"
"G/WETH","0xa6faa35422a0495e3cced686fb54016477120b20"
"G/WETH","0x000072e4d7fcf0975241843a146ab810377dd6fe"
"G/WETH","0x00004c09de7a9a53559bc2a760471e9e1681e94a"
"pPEPE/WETH","0x1211aec32aa3b47ba5ade4fbadde959f8f8a483b"
"pPEPE/WETH","0x3f427c17d227a74c612a14cd1d66ec423f338532"
"pPEPE/WETH","0xf9ee6dd7bdd364c1cf9d82b67ae33977752d31c7"
"pPEPE/WETH","0xf94599d9394fd22d68f865542c0fde8758c1efb3"
"PIPI/WETH","0xd1fe9d59273f01e02496c60989aa27fc4ab90c45"
"PIPI/WETH","0xfee0b93f16b0378950b8621fc8e030239111ba81"
"PIPI/WETH","0x1bd218edbef483da064682b9f02f112eb0b30b26"
"BOYSC/WETH","0x2150451454e65a3c78895f8abfc10f2168ee5085"
"BOYSC/WETH","0xb02605be7c6cb850ab21ad781685fd70a486e2dd"
"BOYSC/WETH","0xa0ebac0302671c4b3fcba2a20679d114e66749b0"
"BOYSC/WETH","0x6687140c74bdd58fe36edf21ad6be9121a466a5a"
"MIRA/WETH","0x53fbe5c3f625d00484c5816c76e21aaaf9dec3b2"
"MIRA/WETH","0xbeeedff526c9c1ef8e2337d8ef2a3074a3d12732"
"OLDS/WETH","0x6fd0ed4f92a683ecd82a50cf0b376c090906fe4a"
"OLDS/WETH","0x000130c97e3d6a965448cf44ba5eb9c89476deb9"
"OLDS/WETH","0x00011d37c5662187ec1264e020b5c79ebacc840b"
"TATE/WETH","0x79666baf8853838050bb8d6e0165e893235e86fe"
"TATE/WETH","0x7e4f05aa35077b336e3dbaee3745c01354ee0e50"
"PHUB/WETH","0xe51c59fd5c28707ca81ce0273e6618811223278c"
"PHUB/WETH","0x4834013f3addb5641f6fffea7751819078099262"
"PHUB/WETH","0xb0733f682edbe8340914e50ad690fb5d6546397d"
"PHUB/WETH","0x926a2378c0f59a38e5018c51975043881ffebabb"
"MCD/WETH","0x2defdd9a85e630fc311719b11d7dcb7ecef423be"
"MCD/WETH","0xf1a2155fc31d67f66a59c7aa83c273a97cb8fa40"
"FX1/WETH","0x7346b36fd7eb83b8a9bf9793e27a6bedefdd96ee"
"FX1/WETH","0xc8ed4bf246c49cdd6f6d28ec8c352914056fc167"